epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.2241,1.45853,3.8767,1.60898,0.01765,0.50159,0.12269,0.05867,1.15219,4.01337,1.43926,5.831e-05,5.831e-05,5.831e-05
2,21.779,1.32229,3.78845,1.51631,0.02275,0.60079,0.1097,0.07233,1.08939,3.83506,1.31973,0.000122476,0.000122476,0.000122476
3,32.5587,1.30188,3.63848,1.47557,0.01639,0.60079,0.14752,0.1123,1.0949,3.81214,1.31207,0.000184003,0.000184003,0.000184003
4,42.9361,1.32216,3.53506,1.54683,0.0124,0.59127,0.16073,0.12858,1.23735,3.70554,1.41915,0.000242891,0.000242891,0.000242891
5,53.2188,1.20179,3.41724,1.39598,0.00872,0.39683,0.18064,0.14658,1.26965,3.63594,1.47359,0.00029914,0.00029914,0.00029914
6,63.5205,1.22323,3.19578,1.42974,0.79027,0.2619,0.21147,0.16646,1.26606,3.5069,1.48682,0.000352751,0.000352751,0.000352751
7,73.8163,1.2434,3.03639,1.44123,0.94086,0.13267,0.24257,0.20602,1.36191,3.42034,1.60543,0.000403722,0.000403722,0.000403722
8,84.0556,1.16221,2.85002,1.38628,0.91799,0.16396,0.26072,0.20813,1.38903,3.35658,1.64319,0.000452054,0.000452054,0.000452054
9,94.5669,1.26897,2.83118,1.4726,0.91009,0.21429,0.31584,0.23653,1.29807,3.13628,1.576,0.000497747,0.000497747,0.000497747
10,105.067,1.29479,2.75197,1.48003,0.80942,0.2521,0.33982,0.24291,1.27239,3.03869,1.59925,0.000540802,0.000540802,0.000540802
11,115.664,1.2059,2.56685,1.39319,0.87415,0.28428,0.33618,0.2508,1.29439,2.92868,1.5394,0.000581217,0.000581217,0.000581217
12,126.11,1.25333,2.53901,1.4505,0.87136,0.29365,0.35505,0.29097,1.21913,2.8965,1.5135,0.000618994,0.000618994,0.000618994
13,136.62,1.27333,2.37377,1.45957,0.74025,0.33153,0.3753,0.2793,1.26714,2.87988,1.61358,0.000635079,0.000635079,0.000635079
14,147.12,1.2903,2.37473,1.44826,0.83975,0.34161,0.40734,0.29618,1.29473,2.70136,1.5976,0.000618586,0.000618586,0.000618586
15,157.78,1.19385,2.1599,1.37418,0.58668,0.37857,0.42186,0.30066,1.34909,2.49855,1.61615,0.000602092,0.000602092,0.000602092
16,168.384,1.2119,2.17466,1.43515,0.63094,0.42682,0.46674,0.30188,1.33947,2.38727,1.60573,0.000585599,0.000585599,0.000585599
17,179.128,1.35712,2.37691,1.5423,0.74515,0.45308,0.48547,0.31883,1.42291,2.38835,1.69951,0.000569106,0.000569106,0.000569106
18,189.797,1.21067,2.13299,1.42156,0.75557,0.46467,0.43016,0.30692,1.48669,2.3864,1.73153,0.000552612,0.000552612,0.000552612
19,200.432,1.23411,2.13319,1.43562,0.72758,0.46306,0.44116,0.29585,1.52491,2.36687,1.77358,0.000536119,0.000536119,0.000536119
20,211.097,1.15199,2.05398,1.37756,0.75265,0.491,0.45824,0.28712,1.49675,2.23216,1.73863,0.000519625,0.000519625,0.000519625
21,221.732,1.23501,2.12033,1.495,0.72902,0.49012,0.45894,0.29155,1.44826,2.16204,1.72236,0.000503132,0.000503132,0.000503132
22,232.528,1.15777,2.03009,1.40017,0.73399,0.50723,0.47616,0.30511,1.43528,2.13173,1.69608,0.000486639,0.000486639,0.000486639
23,243.095,1.08816,1.90861,1.3391,0.7435,0.50871,0.50399,0.32649,1.40109,2.19253,1.66177,0.000470145,0.000470145,0.000470145
24,253.738,1.18024,1.97028,1.37082,0.75077,0.48974,0.50013,0.33744,1.36785,2.19122,1.64349,0.000453652,0.000453652,0.000453652
25,264.389,1.21262,2.06515,1.42159,0.81535,0.47216,0.4822,0.33784,1.3541,2.26614,1.62713,0.000437158,0.000437158,0.000437158
26,275.063,1.09413,1.83917,1.3739,0.78651,0.47331,0.46971,0.35443,1.28458,2.27136,1.58121,0.000420665,0.000420665,0.000420665
27,285.671,1.12142,1.89436,1.37345,0.71314,0.50552,0.456,0.35128,1.24802,2.21596,1.57015,0.000404172,0.000404172,0.000404172
28,296.261,1.06147,1.76874,1.31178,0.65915,0.48571,0.43691,0.32847,1.22813,2.14965,1.54077,0.000387678,0.000387678,0.000387678
29,306.849,1.20424,1.85975,1.37717,0.67185,0.48571,0.43575,0.32847,1.19131,2.06729,1.50793,0.000371185,0.000371185,0.000371185
30,317.398,1.07218,1.73288,1.3265,0.667,0.48571,0.42983,0.33446,1.16866,1.98848,1.46709,0.000354691,0.000354691,0.000354691
31,327.992,1.10718,1.73834,1.30866,0.66517,0.48571,0.43209,0.33152,1.15013,1.92989,1.42857,0.000338198,0.000338198,0.000338198
32,338.536,1.05705,1.67968,1.33572,0.70392,0.48514,0.43932,0.33748,1.14677,1.92526,1.42058,0.000321705,0.000321705,0.000321705
33,349.274,1.00083,1.54449,1.28022,0.64879,0.48571,0.44005,0.33998,1.20118,1.97771,1.46235,0.000305211,0.000305211,0.000305211
