epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.43693,1.71136,5.97922,1.91875,0.65514,0.21764,0.24356,0.15941,1.357,8.5955,1.66028,0.00012495,0.00012495,0.00012495
2,19.3767,1.38026,3.84326,1.6568,0.53075,0.2381,0.27186,0.22564,1.2876,16.4129,1.65566,0.000255034,0.000255034,0.000255034
3,27.759,1.31931,3.14932,1.63257,0.37345,0.40331,0.37606,0.25487,1.33635,9.92332,1.68531,0.00038182,0.00038182,0.00038182
4,36.087,1.38603,2.83809,1.64818,0.66483,0.28437,0.32626,0.23924,1.43655,4.17682,1.83679,0.000505307,0.000505307,0.000505307
5,44.1629,1.40706,2.62385,1.69229,0.45065,0.40238,0.32663,0.24348,1.41737,3.80021,1.82741,0.000625496,0.000625496,0.000625496
6,52.1443,1.45566,2.61754,1.74224,0.65183,0.36865,0.36412,0.21905,1.63656,3.88687,2.02572,0.000742385,0.000742385,0.000742385
7,60.1109,1.51752,2.66242,1.72135,0.68992,0.40787,0.40237,0.26617,1.605,3.41056,1.91562,0.00077115,0.00077115,0.00077115
8,68.2076,1.47551,2.36923,1.71891,0.69982,0.35537,0.33748,0.23827,1.52088,3.07475,1.80151,0.000760841,0.000760841,0.000760841
9,76.1822,1.45426,2.21278,1.71567,0.53266,0.35759,0.37026,0.25714,1.62838,2.9462,1.91136,0.000750533,0.000750533,0.000750533
10,84.1879,1.5342,2.38463,1.78287,0.54995,0.43016,0.40484,0.22924,1.68526,2.79167,1.99253,0.000740225,0.000740225,0.000740225
11,92.1362,1.47727,2.17942,1.70576,0.67773,0.46112,0.43291,0.28589,1.44996,2.44391,1.82184,0.000729916,0.000729916,0.000729916
12,100.228,1.34507,1.79242,1.57041,0.80273,0.45051,0.47676,0.31569,1.32656,2.22015,1.61102,0.000719608,0.000719608,0.000719608
13,108.292,1.38141,1.9255,1.67124,0.7487,0.45739,0.50092,0.31422,1.47822,2.17855,1.7858,0.000709299,0.000709299,0.000709299
14,116.317,1.33028,1.90596,1.59568,0.75778,0.3725,0.43663,0.26806,1.5844,2.14664,1.81248,0.000698991,0.000698991,0.000698991
15,124.217,1.48241,2.07746,1.72216,0.70924,0.41237,0.40203,0.26434,1.51191,2.2024,1.81224,0.000688683,0.000688683,0.000688683
16,132.129,1.41355,1.90087,1.62932,0.73663,0.44421,0.45592,0.30962,1.4103,2.02609,1.75856,0.000678374,0.000678374,0.000678374
17,140.051,1.33896,1.75954,1.6415,0.6729,0.52302,0.48799,0.31545,1.45358,1.97081,1.83794,0.000668066,0.000668066,0.000668066
18,148.038,1.37767,1.81433,1.64786,0.65254,0.53984,0.44643,0.2792,1.46606,1.94643,1.7225,0.000657758,0.000657758,0.000657758
19,155.996,1.29871,1.71003,1.59696,0.59925,0.51653,0.45401,0.29587,1.61932,1.95844,1.81694,0.000647449,0.000647449,0.000647449
20,164.017,1.30806,1.71978,1.569,0.68246,0.49322,0.46308,0.31605,1.53337,1.65321,1.76363,0.000637141,0.000637141,0.000637141
21,172.371,1.35612,1.70197,1.64295,0.71453,0.51842,0.49703,0.32573,1.54947,1.70292,1.79054,0.000626832,0.000626832,0.000626832
22,180.983,1.23868,1.54773,1.53121,0.69724,0.50603,0.55743,0.35304,1.40384,1.58619,1.67055,0.000616524,0.000616524,0.000616524
23,190.19,1.30622,1.59944,1.58689,0.7238,0.48918,0.54516,0.36626,1.36825,1.60032,1.64086,0.000606216,0.000606216,0.000606216
24,198.658,1.181,1.43884,1.4765,0.71734,0.43102,0.48918,0.3508,1.406,1.64352,1.6651,0.000595907,0.000595907,0.000595907
25,206.936,1.17016,1.41465,1.47745,0.7158,0.48124,0.51095,0.36549,1.38221,1.72849,1.65881,0.000585599,0.000585599,0.000585599
26,215.194,1.13911,1.36535,1.43917,0.68459,0.49036,0.495,0.34369,1.29317,1.75735,1.62798,0.000575291,0.000575291,0.000575291
27,223.414,1.22521,1.56814,1.56964,0.75524,0.49524,0.47456,0.33247,1.37862,1.72811,1.73863,0.000564982,0.000564982,0.000564982
28,231.617,1.23609,1.52748,1.55779,0.69813,0.48639,0.47568,0.32944,1.42502,1.74721,1.83356,0.000554674,0.000554674,0.000554674
29,240.056,1.2141,1.50096,1.51035,0.89015,0.40244,0.48159,0.3315,1.38708,1.74408,1.69027,0.000544365,0.000544365,0.000544365
30,248.088,1.1305,1.4944,1.44572,0.67811,0.45413,0.47112,0.30091,1.53556,1.91119,1.78607,0.000534057,0.000534057,0.000534057
31,256.341,1.12927,1.39348,1.41933,0.72572,0.43968,0.46554,0.31833,1.51221,1.90621,1.77392,0.000523749,0.000523749,0.000523749
32,264.771,1.21086,1.408,1.52468,0.7539,0.43502,0.49005,0.33975,1.47366,1.81222,1.73442,0.00051344,0.00051344,0.00051344
33,273.363,1.11915,1.31036,1.40318,0.57814,0.49524,0.59899,0.349,1.53818,1.90262,1.81449,0.000503132,0.000503132,0.000503132
34,281.925,1.09766,1.33384,1.42003,0.59719,0.68571,0.59842,0.37383,1.44842,1.71112,1.77084,0.000492824,0.000492824,0.000492824
35,290.322,1.09848,1.40226,1.47807,0.60321,0.68571,0.5965,0.39066,1.4682,1.68537,1.75483,0.000482515,0.000482515,0.000482515
36,298.732,1.08989,1.30197,1.41165,0.5492,0.68571,0.59979,0.38965,1.48997,1.65803,1.7281,0.000472207,0.000472207,0.000472207
37,307.461,1.17899,1.37496,1.45743,0.73702,0.49127,0.62261,0.3781,1.47099,1.61914,1.69761,0.000461898,0.000461898,0.000461898
38,315.839,1.12937,1.32449,1.40645,0.72401,0.51905,0.60851,0.35827,1.49837,1.67136,1.72788,0.00045159,0.00045159,0.00045159
39,324.366,1.09411,1.35237,1.4288,0.69682,0.4851,0.61509,0.34905,1.54312,1.76662,1.80108,0.000441282,0.000441282,0.000441282
40,332.847,1.14667,1.40942,1.49406,0.65922,0.49127,0.6006,0.3553,1.54168,1.82177,1.80483,0.000430973,0.000430973,0.000430973
